name,phone,social,2gis_url
Серта Мастер,+79530762293,WhatsApp,https://2gis.ru/krasnodar/search/%D1%80%D0%B5%D0%BC%D0%BE%D0%BD%D1%82%20%D0%BA%D0%B2%D0%B0%D1%80%D1%82%D0%B8%D1%80/filters/sort%3Dopened_time/firm/70000001104329321/39.003284%2C45.085157?m=38.840598%2C45.276664%2F10.62
Konstruktiva,+79895003336,Telegram,https://2gis.ru/krasnodar/search/%D1%80%D0%B5%D0%BC%D0%BE%D0%BD%D1%82%20%D0%BA%D0%B2%D0%B0%D1%80%D1%82%D0%B8%D1%80/filters/sort%3Dopened_time/page/2/firm/70000001103438427/39.086243%2C45.095458?m=39.003284%2C45.085157%2F10.62
Альпантикор,+79298403892,,https://2gis.ru/krasnodar/search/%D1%80%D0%B5%D0%BC%D0%BE%D0%BD%D1%82%20%D0%BA%D0%B2%D0%B0%D1%80%D1%82%D0%B8%D1%80/filters/sort%3Dopened_time/page/2/firm/70000001103646153/38.965035%2C45.067576?m=39.003284%2C45.085157%2F10.62
Ремонтная компания,+79282633350,,https://2gis.ru/krasnodar/search/%D1%80%D0%B5%D0%BC%D0%BE%D0%BD%D1%82%20%D0%BA%D0%B2%D0%B0%D1%80%D1%82%D0%B8%D1%80/filters/sort%3Dopened_time/page/2/firm/70000001103812990?m=39.003284%2C45.085157%2F10.62
ВиП-Компани,+79825189918,,https://2gis.ru/krasnodar/search/%D1%80%D0%B5%D0%BC%D0%BE%D0%BD%D1%82%20%D0%BA%D0%B2%D0%B0%D1%80%D1%82%D0%B8%D1%80/filters/sort%3Dopened_time/page/2/firm/70000001102788112/39.033456%2C45.095393?m=39.003284%2C45.085157%2F10.62
Кубань-строй,+79181212303,,https://2gis.ru/krasnodar/search/%D1%80%D0%B5%D0%BC%D0%BE%D0%BD%D1%82%20%D0%BA%D0%B2%D0%B0%D1%80%D1%82%D0%B8%D1%80/filters/sort%3Dopened_time/page/2/firm/70000001102787508/39.00531%2C45.08955?m=39.003284%2C45.085157%2F10.62
ВласРемСтрой,+79064350149,"WhatsApp, Telegram",https://2gis.ru/krasnodar/search/%D1%80%D0%B5%D0%BC%D0%BE%D0%BD%D1%82%20%D0%BA%D0%B2%D0%B0%D1%80%D1%82%D0%B8%D1%80/filters/sort%3Dopened_time/page/3/firm/70000001102786085?m=39.003284%2C45.085157%2F10.62
Архитектор,+79385552241,"WhatsApp, Telegram",https://2gis.ru/krasnodar/search/%D1%80%D0%B5%D0%BC%D0%BE%D0%BD%D1%82%20%D0%BA%D0%B2%D0%B0%D1%80%D1%82%D0%B8%D1%80/filters/sort%3Dopened_time/page/3/firm/70000001102578518?m=39.003284%2C45.085157%2F10.62
Офис ремонта,+79180234563,WhatsApp,https://2gis.ru/krasnodar/search/%D1%80%D0%B5%D0%BC%D0%BE%D0%BD%D1%82%20%D0%BA%D0%B2%D0%B0%D1%80%D1%82%D0%B8%D1%80/filters/sort%3Dopened_time/page/3/firm/70000001105150770/38.904569%2C45.100802?m=39.003284%2C45.085157%2F10.62
Строительные традиции,+79180042328,"WhatsApp, Telegram",https://2gis.ru/krasnodar/search/%D1%80%D0%B5%D0%BC%D0%BE%D0%BD%D1%82%20%D0%BA%D0%B2%D0%B0%D1%80%D1%82%D0%B8%D1%80/filters/sort%3Dopened_time/page/3/firm/70000001103638661/38.81669%2C45.055431?m=39.003284%2C45.085157%2F10.62
Pro|ремонт,+79676653851,"WhatsApp, Telegram",https://2gis.ru/krasnodar/search/%D1%80%D0%B5%D0%BC%D0%BE%D0%BD%D1%82%20%D0%BA%D0%B2%D0%B0%D1%80%D1%82%D0%B8%D1%80/filters/sort%3Dopened_time/page/3/firm/70000001103446942/38.991822%2C45.063257?m=39.003284%2C45.085157%2F10.62
KrdремонтPro,+79883895981,"WhatsApp, Telegram",https://2gis.ru/krasnodar/search/%D1%80%D0%B5%D0%BC%D0%BE%D0%BD%D1%82%20%D0%BA%D0%B2%D0%B0%D1%80%D1%82%D0%B8%D1%80/filters/sort%3Dopened_time/page/3/firm/70000001102359830?m=39.003284%2C45.085157%2F10.62
СТК Атлант,+79298499900,WhatsApp,https://2gis.ru/anapa/search/%D1%80%D0%B5%D0%BC%D0%BE%D0%BD%D1%82%20%D0%BA%D0%B2%D0%B0%D1%80%D1%82%D0%B8%D1%80/filters/sort%3Dopened_time/page/3/firm/70000001102720416/37.338548%2C44.887531?m=39.003284%2C45.085157%2F10.62
Propinter,+79094444921,WhatsApp,https://2gis.ru/krasnodar/search/%D1%80%D0%B5%D0%BC%D0%BE%D0%BD%D1%82%20%D0%BA%D0%B2%D0%B0%D1%80%D1%82%D0%B8%D1%80/filters/sort%3Dopened_time/page/3/firm/70000001101989152/39.032143%2C45.094246?m=37.338548%2C44.887531%2F10.62
StroyHubGroup,+79180534933,"WhatsApp, Telegram",https://2gis.ru/goryachij-klyuch/search/%D1%80%D0%B5%D0%BC%D0%BE%D0%BD%D1%82%20%D0%BA%D0%B2%D0%B0%D1%80%D1%82%D0%B8%D1%80/filters/sort%3Dopened_time/page/3/firm/70000001103390468/39.1259%2C44.631502?m=39.1259%2C44.631502%2F10.62
Люди,+79676666234,WhatsApp,https://2gis.ru/krasnodar/search/%D1%80%D0%B5%D0%BC%D0%BE%D0%BD%D1%82%20%D0%BA%D0%B2%D0%B0%D1%80%D1%82%D0%B8%D1%80/filters/sort%3Dopened_time/page/4/firm/70000001099460040/39.0313%2C45.049058?m=38.966171%2C45.049544%2F10.62
Благодарное,+79183986899,"WhatsApp, Telegram",https://2gis.ru/krasnodar/search/%D1%80%D0%B5%D0%BC%D0%BE%D0%BD%D1%82%20%D0%BA%D0%B2%D0%B0%D1%80%D1%82%D0%B8%D1%80/filters/sort%3Dopened_time/page/4/firm/70000001095696127/39.033386%2C45.088676?m=38.906871%2C45.097443%2F10.62
От&До,+79298443676,WhatsApp,https://2gis.ru/krasnodar/search/%D1%80%D0%B5%D0%BC%D0%BE%D0%BD%D1%82%20%D0%BA%D0%B2%D0%B0%D1%80%D1%82%D0%B8%D1%80/filters/sort%3Dopened_time/page/4/firm/70000001102787940/38.905888%2C45.103702?m=38.906871%2C45.097443%2F10.62
Студия 3,+79615060034,"WhatsApp, Telegram, YouTube",https://2gis.ru/novorossiysk/search/%D1%80%D0%B5%D0%BC%D0%BE%D0%BD%D1%82%20%D0%BA%D0%B2%D0%B0%D1%80%D1%82%D0%B8%D1%80/filters/sort%3Dopened_time/page/4/firm/70000001094528830/37.761973%2C44.695289?m=37.761973%2C44.695289%2F10.62
Студия 3,+79089457423,"Telegram, YouTube, WhatsApp",https://2gis.ru/novorossiysk/search/%D1%80%D0%B5%D0%BC%D0%BE%D0%BD%D1%82%20%D0%BA%D0%B2%D0%B0%D1%80%D1%82%D0%B8%D1%80/filters/sort%3Dopened_time/page/5/firm/70000001094528830/37.761973%2C44.695289?m=37.761973%2C44.695289%2F10.62
Баир,+79882400744,,https://2gis.ru/krasnodar/search/%D1%80%D0%B5%D0%BC%D0%BE%D0%BD%D1%82%20%D0%BA%D0%B2%D0%B0%D1%80%D1%82%D0%B8%D1%80/filters/sort%3Dopened_time/page/5/firm/70000001105080674/39.002056%2C45.078907?m=38.961956%2C45.061339%2F10.62
Стройэксперт,+79048905239,WhatsApp,https://2gis.ru/novorossiysk/search/%D1%80%D0%B5%D0%BC%D0%BE%D0%BD%D1%82%20%D0%BA%D0%B2%D0%B0%D1%80%D1%82%D0%B8%D1%80/filters/sort%3Dopened_time/page/5/firm/70000001095221119?m=38.961956%2C45.061339%2F10.62
Альфа гарант,+79996333601,"WhatsApp, Telegram",https://2gis.ru/krasnodar/search/%D1%80%D0%B5%D0%BC%D0%BE%D0%BD%D1%82%20%D0%BA%D0%B2%D0%B0%D1%80%D1%82%D0%B8%D1%80/filters/sort%3Dopened_time/page/5/firm/70000001104095754/38.908843%2C45.105323?m=37.785935%2C44.678585%2F10.62
Инвест-плюс,+79186650222,"Telegram, WhatsApp",https://2gis.ru/anapa/search/%D1%80%D0%B5%D0%BC%D0%BE%D0%BD%D1%82%20%D0%BA%D0%B2%D0%B0%D1%80%D1%82%D0%B8%D1%80/filters/sort%3Dopened_time/page/5/firm/70000001104043476/37.319254%2C44.883262?m=38.908843%2C45.105323%2F10.62
Крд-монтаж,+79883300595,"Telegram, WhatsApp",https://2gis.ru/krasnodar/search/%D1%80%D0%B5%D0%BC%D0%BE%D0%BD%D1%82%20%D0%BA%D0%B2%D0%B0%D1%80%D1%82%D0%B8%D1%80/filters/sort%3Dopened_time/page/5/firm/70000001090706795/39.036693%2C45.083925?m=37.319254%2C44.883262%2F10.62
O`Live,+79186966968,"WhatsApp, Telegram",https://2gis.ru/krasnodar/search/%D1%80%D0%B5%D0%BC%D0%BE%D0%BD%D1%82%20%D0%BA%D0%B2%D0%B0%D1%80%D1%82%D0%B8%D1%80/filters/sort%3Dopened_time/page/5/firm/70000001103437740/39.220773%2C45.220615?m=37.32809%2C44.897701%2F10.62
Югтехэнергострой,+79604780516,,https://2gis.ru/krasnodar/search/%D1%80%D0%B5%D0%BC%D0%BE%D0%BD%D1%82%20%D0%BA%D0%B2%D0%B0%D1%80%D1%82%D0%B8%D1%80/filters/sort%3Dopened_time/page/6/firm/70000001093558483/39.111799%2C45.00207?m=39.220773%2C45.220615%2F10.62
Компания по ремонту помещений под ключ,+79107147668,,https://2gis.ru/novorossiysk/search/%D1%80%D0%B5%D0%BC%D0%BE%D0%BD%D1%82%20%D0%BA%D0%B2%D0%B0%D1%80%D1%82%D0%B8%D1%80/filters/sort%3Dopened_time/page/6/firm/70000001089882383/37.770093%2C44.692426?m=39.111799%2C45.00207%2F10.62
Квартирный вопрос,+79180009797,,https://2gis.ru/krasnodar/search/%D1%80%D0%B5%D0%BC%D0%BE%D0%BD%D1%82%20%D0%BA%D0%B2%D0%B0%D1%80%D1%82%D0%B8%D1%80/filters/sort%3Dopened_time/page/6/firm/70000001090437677/38.974335%2C45.117762?m=37.770093%2C44.692426%2F10.62
Кванта,+79994256425,"Telegram, WhatsApp",https://2gis.ru/krasnodar/search/%D1%80%D0%B5%D0%BC%D0%BE%D0%BD%D1%82%20%D0%BA%D0%B2%D0%B0%D1%80%D1%82%D0%B8%D1%80/filters/sort%3Dopened_time/page/6/firm/70000001093043693/39.027373%2C45.048677?m=38.974335%2C45.117762%2F10.62
Fixxiii,+79385516394,"Telegram, WhatsApp",https://2gis.ru/krasnodar/search/%D1%80%D0%B5%D0%BC%D0%BE%D0%BD%D1%82%20%D0%BA%D0%B2%D0%B0%D1%80%D1%82%D0%B8%D1%80/filters/sort%3Dopened_time/page/6/firm/70000001093671054/39.000155%2C45.036687?m=37.336392%2C44.894351%2F10.62
Строительная компания,+79284095252,WhatsApp,https://2gis.ru/slavyansk-na-kubani/search/%D1%80%D0%B5%D0%BC%D0%BE%D0%BD%D1%82%20%D0%BA%D0%B2%D0%B0%D1%80%D1%82%D0%B8%D1%80/filters/sort%3Dopened_time/page/6/firm/70000001104750505/38.132073%2C45.231848?m=39.000155%2C45.036687%2F10.62
Аврора,+79182751717,WhatsApp,https://2gis.ru/krasnodar/search/%D1%80%D0%B5%D0%BC%D0%BE%D0%BD%D1%82%20%D0%BA%D0%B2%D0%B0%D1%80%D1%82%D0%B8%D1%80/filters/sort%3Dopened_time/page/6/firm/70000001100783457?m=38.132073%2C45.231848%2F10.62
Готика,+79888886332,WhatsApp,https://2gis.ru/krasnodar/search/%D1%80%D0%B5%D0%BC%D0%BE%D0%BD%D1%82%20%D0%BA%D0%B2%D0%B0%D1%80%D1%82%D0%B8%D1%80/filters/sort%3Dopened_time/page/7/firm/70000001032347407/38.974702%2C45.059385?m=38.968099%2C45.037906%2F10.62
Готика,+79384507545,WhatsApp,https://2gis.ru/krasnodar/search/%D1%80%D0%B5%D0%BC%D0%BE%D0%BD%D1%82%20%D0%BA%D0%B2%D0%B0%D1%80%D1%82%D0%B8%D1%80/filters/sort%3Dopened_time/page/7/firm/70000001082894202?m=38.968099%2C45.037906%2F10.62
Platinum,+79624055567,WhatsApp,https://2gis.ru/krasnodar/search/%D1%80%D0%B5%D0%BC%D0%BE%D0%BD%D1%82%20%D0%BA%D0%B2%D0%B0%D1%80%D1%82%D0%B8%D1%80/filters/sort%3Dopened_time/page/8/firm/70000001095879137?m=39.040127%2C45.035997%2F10.62
Студия дизайна интерьера,+79649115771,"WhatsApp, Telegram",https://2gis.ru/krasnodar/search/%D1%80%D0%B5%D0%BC%D0%BE%D0%BD%D1%82%20%D0%BA%D0%B2%D0%B0%D1%80%D1%82%D0%B8%D1%80/filters/sort%3Dopened_time/page/8/firm/70000001081178033/39.009805%2C45.106801?m=39.040127%2C45.035997%2F10.62
Masterproff,+79960553033,"WhatsApp, Telegram",https://2gis.ru/krasnodar/search/%D1%80%D0%B5%D0%BC%D0%BE%D0%BD%D1%82%20%D0%BA%D0%B2%D0%B0%D1%80%D1%82%D0%B8%D1%80/filters/sort%3Dopened_time/page/8/firm/70000001101368903/38.975831%2C45.050355?m=39.040127%2C45.035997%2F10.62
Мастер-строй,+79929999984,WhatsApp,https://2gis.ru/krasnodar/search/%D1%80%D0%B5%D0%BC%D0%BE%D0%BD%D1%82%20%D0%BA%D0%B2%D0%B0%D1%80%D1%82%D0%B8%D1%80/filters/sort%3Dopened_time/page/8/firm/70000001081330801?m=39.040127%2C45.035997%2F10.62
Братья в деле,+79994112020,WhatsApp,https://2gis.ru/krasnodar/search/%D1%80%D0%B5%D0%BC%D0%BE%D0%BD%D1%82%20%D0%BA%D0%B2%D0%B0%D1%80%D1%82%D0%B8%D1%80/filters/sort%3Dopened_time/page/8/firm/70000001079729216?m=37.355052%2C44.898312%2F10.62
Агентство недвижимости,+79385181324,"YouTube, WhatsApp, Telegram",https://2gis.ru/krasnodar/search/%D1%80%D0%B5%D0%BC%D0%BE%D0%BD%D1%82%20%D0%BA%D0%B2%D0%B0%D1%80%D1%82%D0%B8%D1%80/filters/sort%3Dopened_time/page/9/firm/70000001080005370/39.000315%2C45.097845?m=39.014039%2C45.080438%2F10.62
По домам,+79673005511,"WhatsApp, Telegram",https://2gis.ru/krasnodar/search/%D1%80%D0%B5%D0%BC%D0%BE%D0%BD%D1%82%20%D0%BA%D0%B2%D0%B0%D1%80%D1%82%D0%B8%D1%80/filters/sort%3Dopened_time/page/9/firm/70000001079698258/38.971501%2C45.063627?m=37.772563%2C44.707926%2F10.62
