name,phones,social,url_2gis
DemontazhGrup,+79002533330,"WhatsApp, Telegram",https://2gis.ru/novorossiysk/search/%D1%80%D0%B5%D0%BC%D0%BE%D0%BD%D1%82%20%D0%BA%D0%B2%D0%B0%D1%80%D1%82%D0%B8%D1%80/filters/sort%3Dopened_time/page/55/firm/70000001038857614/37.759401%2C44.683402?m=37.698546%2C44.763757%2F10.62
Digroup,+79284160897,,https://2gis.ru/krasnodar/search/%D1%80%D0%B5%D0%BC%D0%BE%D0%BD%D1%82%20%D0%BA%D0%B2%D0%B0%D1%80%D1%82%D0%B8%D1%80/filters/sort%3Dopened_time/page/31/firm/70000001110561568/38.956136%2C45.037323?m=38.943272%2C45.037581%2F10.62
Dom group,+79282084717,"WhatsApp, Telegram",https://2gis.ru/krasnodar/search/%D1%80%D0%B5%D0%BC%D0%BE%D0%BD%D1%82%20%D0%BA%D0%B2%D0%B0%D1%80%D1%82%D0%B8%D1%80/filters/sort%3Dopened_time/page/15/firm/70000001046017573/38.900142%2C45.077415?m=38.99238%2C45.062214%2F10.62
Eclectic decor,+79183514540,WhatsApp,https://2gis.ru/novorossiysk/search/%D1%80%D0%B5%D0%BC%D0%BE%D0%BD%D1%82%20%D0%BA%D0%B2%D0%B0%D1%80%D1%82%D0%B8%D1%80/filters/sort%3Dopened_time/page/58/firm/70000001020979094/37.750808%2C44.715223?m=39.007338%2C45.12027%2F10.62
Fixxiii,+79385516394,"Telegram, WhatsApp",https://2gis.ru/krasnodar/search/%D1%80%D0%B5%D0%BC%D0%BE%D0%BD%D1%82%20%D0%BA%D0%B2%D0%B0%D1%80%D1%82%D0%B8%D1%80/filters/sort%3Dopened_time/page/6/firm/70000001093671054/39.000155%2C45.036687?m=37.336392%2C44.894351%2F10.62
Frino,+78612410734,"Taplink, WhatsApp",https://2gis.ru/krasnodar/search/%D1%80%D0%B5%D0%BC%D0%BE%D0%BD%D1%82%20%D0%BA%D0%B2%D0%B0%D1%80%D1%82%D0%B8%D1%80/filters/sort%3Dopened_time/page/58/firm/70000001006334974/38.963458%2C45.024242?m=37.751713%2C44.731909%2F10.62
Granat group,+79883559058,WhatsApp,https://2gis.ru/krasnodar/search/%D1%80%D0%B5%D0%BC%D0%BE%D0%BD%D1%82%20%D0%BA%D0%B2%D0%B0%D1%80%D1%82%D0%B8%D1%80/filters/sort%3Dopened_time/page/12/firm/70000001059803344/38.977723%2C45.074028?m=39.01902%2C45.120078%2F10.62
Happy.design,+79094483697,WhatsApp,https://2gis.ru/krasnodar/search/%D1%80%D0%B5%D0%BC%D0%BE%D0%BD%D1%82%20%D0%BA%D0%B2%D0%B0%D1%80%D1%82%D0%B8%D1%80/filters/sort%3Dopened_time/page/22/firm/70000001051326548?m=38.995847%2C45.063615%2F10.62
HomeExpert,+79186367698,"WhatsApp, Telegram",https://2gis.ru/krasnodar/search/%D1%80%D0%B5%D0%BC%D0%BE%D0%BD%D1%82%20%D0%BA%D0%B2%D0%B0%D1%80%D1%82%D0%B8%D1%80/filters/sort%3Dopened_time/page/14/firm/70000001068867691/39.039361%2C45.066264?m=38.958426%2C45.049683%2F10.62
IQ Home,+79186435888,WhatsApp,https://2gis.ru/anapa/search/%D1%80%D0%B5%D0%BC%D0%BE%D0%BD%D1%82%20%D0%BA%D0%B2%D0%B0%D1%80%D1%82%D0%B8%D1%80/filters/sort%3Dopened_time/page/18/firm/70000001087534175?m=39.006744%2C45.097399%2F10.62
Komfort_23,+79180168184,WhatsApp,https://2gis.ru/search/%D1%80%D0%B5%D0%BC%D0%BE%D0%BD%D1%82%20%D0%BA%D0%B2%D0%B0%D1%80%D1%82%D0%B8%D1%80/filters/sort%3Dopened_time/page/15/firm/70000001046488602/39.397%2C46.340858?m=37.752245%2C44.73216%2F10.62
Konstruktiva,+79895003336,Telegram,https://2gis.ru/krasnodar/search/%D1%80%D0%B5%D0%BC%D0%BE%D0%BD%D1%82%20%D0%BA%D0%B2%D0%B0%D1%80%D1%82%D0%B8%D1%80/filters/sort%3Dopened_time/page/2/firm/70000001103438427/39.086243%2C45.095458?m=39.003284%2C45.085157%2F10.62
Krash,+79180660005,"Telegram, WhatsApp",https://2gis.ru/novorossiysk/search/%D1%80%D0%B5%D0%BC%D0%BE%D0%BD%D1%82%20%D0%BA%D0%B2%D0%B0%D1%80%D1%82%D0%B8%D1%80/filters/sort%3Dopened_time/page/38/firm/70000001093817167/37.386849%2C44.900148?m=38.907229%2C45.098942%2F10.62
Krd Hous,+79186377077,,https://2gis.ru/krasnodar/search/%D1%80%D0%B5%D0%BC%D0%BE%D0%BD%D1%82%20%D0%BA%D0%B2%D0%B0%D1%80%D1%82%D0%B8%D1%80/filters/sort%3Dopened_time/page/47/firm/70000001063886804?m=37.338555%2C44.887715%2F10.62
KrdремонтPro,+79883895981,"WhatsApp, Telegram",https://2gis.ru/krasnodar/search/%D1%80%D0%B5%D0%BC%D0%BE%D0%BD%D1%82%20%D0%BA%D0%B2%D0%B0%D1%80%D1%82%D0%B8%D1%80/filters/sort%3Dopened_time/page/3/firm/70000001102359830?m=39.003284%2C45.085157%2F10.62
Kvaddrat,+79890210808,"WhatsApp, Telegram",https://2gis.ru/krasnodar/search/%D1%80%D0%B5%D0%BC%D0%BE%D0%BD%D1%82%20%D0%BA%D0%B2%D0%B0%D1%80%D1%82%D0%B8%D1%80/filters/sort%3Dopened_time/page/33/firm/70000001101996270/39.048868%2C45.023666?m=37.782432%2C44.702703%2F10.62
LeDaRu,+79655990163,WhatsApp,https://2gis.ru/gelendzhik/search/%D1%80%D0%B5%D0%BC%D0%BE%D0%BD%D1%82%20%D0%BA%D0%B2%D0%B0%D1%80%D1%82%D0%B8%D1%80/filters/sort%3Dopened_time/page/39/firm/70000001091522571/38.073817%2C44.57351?m=38.073817%2C44.57351%2F10.62
Lieben-haus,+79181416575,WhatsApp,https://2gis.ru/novorossiysk/search/%D1%80%D0%B5%D0%BC%D0%BE%D0%BD%D1%82%20%D0%BA%D0%B2%D0%B0%D1%80%D1%82%D0%B8%D1%80/filters/sort%3Dopened_time/page/24/firm/70000001033455280/37.768467%2C44.709999?m=38.963833%2C45.050183%2F10.62
Masterproff,+79960553033,"WhatsApp, Telegram",https://2gis.ru/krasnodar/search/%D1%80%D0%B5%D0%BC%D0%BE%D0%BD%D1%82%20%D0%BA%D0%B2%D0%B0%D1%80%D1%82%D0%B8%D1%80/filters/sort%3Dopened_time/page/8/firm/70000001101368903/38.975831%2C45.050355?m=39.040127%2C45.035997%2F10.62
Nachalo,+79826540495,,https://2gis.ru/krasnodar/firm/70000001105621915
Naстрой,+79189553525,,
Neo-Group,+79883193377,"YouTube, WhatsApp, Telegram",https://2gis.ru/novorossiysk/search/%D1%80%D0%B5%D0%BC%D0%BE%D0%BD%D1%82%20%D0%BA%D0%B2%D0%B0%D1%80%D1%82%D0%B8%D1%80/filters/sort%3Dopened_time/page/52/firm/70000001052415508/37.77918%2C44.692605?m=39.02589%2C45.013671%2F10.62
O`Live,+79186966968,"WhatsApp, Telegram",https://2gis.ru/krasnodar/search/%D1%80%D0%B5%D0%BC%D0%BE%D0%BD%D1%82%20%D0%BA%D0%B2%D0%B0%D1%80%D1%82%D0%B8%D1%80/filters/sort%3Dopened_time/page/5/firm/70000001103437740/39.220773%2C45.220615?m=37.32809%2C44.897701%2F10.62
Orex,+79885018617,"WhatsApp, Telegram",https://2gis.ru/krasnodar/search/%D1%80%D0%B5%D0%BC%D0%BE%D0%BD%D1%82%20%D0%BA%D0%B2%D0%B0%D1%80%D1%82%D0%B8%D1%80/filters/sort%3Dopened_time/page/20/firm/70000001052829039/38.97543%2C45.036003?m=39.060945%2C45.038119%2F10.62
Partner Development Group,+79002400007,WhatsApp,https://2gis.ru/anapa/search/%D1%80%D0%B5%D0%BC%D0%BE%D0%BD%D1%82%20%D0%BA%D0%B2%D0%B0%D1%80%D1%82%D0%B8%D1%80/filters/sort%3Dopened_time/page/53/firm/70000001046435222/37.317871%2C44.884447?m=37.769089%2C44.719187%2F10.62
Pavel stroy,+79180602190,WhatsApp,https://2gis.ru/krasnodar/search/%D1%80%D0%B5%D0%BC%D0%BE%D0%BD%D1%82%20%D0%BA%D0%B2%D0%B0%D1%80%D1%82%D0%B8%D1%80/filters/sort%3Dopened_time/page/17/firm/70000001047815239?m=39.006744%2C45.097399%2F10.62
Platinum,+79624055567,WhatsApp,https://2gis.ru/krasnodar/search/%D1%80%D0%B5%D0%BC%D0%BE%D0%BD%D1%82%20%D0%BA%D0%B2%D0%B0%D1%80%D1%82%D0%B8%D1%80/filters/sort%3Dopened_time/page/8/firm/70000001095879137?m=39.040127%2C45.035997%2F10.62
Privozzz,+79183317099,WhatsApp,https://2gis.ru/krasnodar/search/%D1%80%D0%B5%D0%BC%D0%BE%D0%BD%D1%82%20%D0%BA%D0%B2%D0%B0%D1%80%D1%82%D0%B8%D1%80/filters/sort%3Dopened_time/page/21/firm/70000001033095715/39.283551%2C45.048301
Pro ремонт Brend,+78617650606,,https://2gis.ru/novorossiysk/search/%D1%80%D0%B5%D0%BC%D0%BE%D0%BD%D1%82%20%D0%BA%D0%B2%D0%B0%D1%80%D1%82%D0%B8%D1%80/filters/sort%3Dopened_time/page/47/firm/70000001067905460/37.778803%2C44.685835?m=37.778803%2C44.685835%2F10.62
Pro.Remont,+79385001112,WhatsApp,https://2gis.ru/gelendzhik/search/%D1%80%D0%B5%D0%BC%D0%BE%D0%BD%D1%82%20%D0%BA%D0%B2%D0%B0%D1%80%D1%82%D0%B8%D1%80/filters/sort%3Dopened_time/page/54/firm/70000001042872570/38.083867%2C44.55968?m=37.30048%2C44.895434%2F10.62
Pro/Reмонт,+79000044193,WhatsApp,https://2gis.ru/novorossiysk/search/%D1%80%D0%B5%D0%BC%D0%BE%D0%BD%D1%82%20%D0%BA%D0%B2%D0%B0%D1%80%D1%82%D0%B8%D1%80/filters/sort%3Dopened_time/page/32/firm/70000001105297716/37.781654%2C44.696009?m=38.115335%2C44.555735%2F10.62
Propinter,+79094444921,WhatsApp,https://2gis.ru/krasnodar/search/%D1%80%D0%B5%D0%BC%D0%BE%D0%BD%D1%82%20%D0%BA%D0%B2%D0%B0%D1%80%D1%82%D0%B8%D1%80/filters/sort%3Dopened_time/page/3/firm/70000001101989152/39.032143%2C45.094246?m=37.338548%2C44.887531%2F10.62
Pro|ремонт,+79676653851,"WhatsApp, Telegram",https://2gis.ru/krasnodar/search/%D1%80%D0%B5%D0%BC%D0%BE%D0%BD%D1%82%20%D0%BA%D0%B2%D0%B0%D1%80%D1%82%D0%B8%D1%80/filters/sort%3Dopened_time/page/3/firm/70000001103446942/38.991822%2C45.063257?m=39.003284%2C45.085157%2F10.62
Raviga,+79186569196,"Telegram, WhatsApp",https://2gis.ru/krasnodar/search/%D1%80%D0%B5%D0%BC%D0%BE%D0%BD%D1%82%20%D0%BA%D0%B2%D0%B0%D1%80%D1%82%D0%B8%D1%80/filters/sort%3Dopened_time/page/45/firm/70000001075258899/38.952593%2C45.074525?m=37.774111%2C44.673437%2F10.62
Realstroy,+79183308668,WhatsApp,https://2gis.ru/krasnodar/search/%D1%80%D0%B5%D0%BC%D0%BE%D0%BD%D1%82%20%D0%BA%D0%B2%D0%B0%D1%80%D1%82%D0%B8%D1%80/filters/sort%3Dopened_time/page/20/firm/70000001058801512/38.943347%2C45.059712?m=37.331904%2C44.888924%2F10.62
Rembrand,"+78002221801, +79186747327","Telegram, WhatsApp",https://2gis.ru/krasnodar/search/%D1%80%D0%B5%D0%BC%D0%BE%D0%BD%D1%82%20%D0%BA%D0%B2%D0%B0%D1%80%D1%82%D0%B8%D1%80/filters/sort%3Dopened_time/page/15/firm/70000001048511372/38.99238%2C45.062214?m=39.397%2C46.340858%2F10.62
Rian-invest,"+79183139558, +79298410125","YouTube, WhatsApp",https://2gis.ru/krasnodar/search/%D1%80%D0%B5%D0%BC%D0%BE%D0%BD%D1%82%20%D0%BA%D0%B2%D0%B0%D1%80%D1%82%D0%B8%D1%80/filters/sort%3Dopened_time/page/42/firm/70000001087494846/39.000315%2C45.097845?m=38.958981%2C45.108211%2F10.62
Sk-group,"+79183353389, +79181512299","WhatsApp, Telegram",https://2gis.ru/krasnodar/search/%D1%80%D0%B5%D0%BC%D0%BE%D0%BD%D1%82%20%D0%BA%D0%B2%D0%B0%D1%80%D1%82%D0%B8%D1%80/filters/sort%3Dopened_time/page/26/firm/70000001067957177/38.939457%2C45.054156?m=37.785935%2C44.678585%2F10.62
Smart level,+78612176201,,https://2gis.ru/novorossiysk/search/%D1%80%D0%B5%D0%BC%D0%BE%D0%BD%D1%82%20%D0%BA%D0%B2%D0%B0%D1%80%D1%82%D0%B8%D1%80/filters/sort%3Dopened_time/page/26/firm/70000001026945812/37.785935%2C44.678585?m=38.123528%2C44.553068%2F10.62
StroyHubGroup,+79180534933,"WhatsApp, Telegram",https://2gis.ru/goryachij-klyuch/search/%D1%80%D0%B5%D0%BC%D0%BE%D0%BD%D1%82%20%D0%BA%D0%B2%D0%B0%D1%80%D1%82%D0%B8%D1%80/filters/sort%3Dopened_time/page/3/firm/70000001103390468/39.1259%2C44.631502?m=39.1259%2C44.631502%2F10.62
"Vasco, компания натяжных потолков",+79186664855,,https://2gis.ru/tihoreck/search/%D1%80%D0%B5%D0%BC%D0%BE%D0%BD%D1%82%20%D0%BA%D0%B2%D0%B0%D1%80%D1%82%D0%B8%D1%80/filters/sort%3Dopened_time/page/55/firm/70000001039342244/40.155853%2C45.855224?m=40.120294%2C45.855233%2F10.62
YAroom bureau,+79882473434,WhatsApp,https://2gis.ru/krasnodar/search/%D1%80%D0%B5%D0%BC%D0%BE%D0%BD%D1%82%20%D0%BA%D0%B2%D0%B0%D1%80%D1%82%D0%B8%D1%80/filters/sort%3Dopened_time/page/42/firm/70000001087979749/38.903404%2C45.099662?m=38.958981%2C45.108211%2F10.62
Zona Remontov,+79889426733,WhatsApp,https://2gis.ru/novorossiysk/search/%D1%80%D0%B5%D0%BC%D0%BE%D0%BD%D1%82%20%D0%BA%D0%B2%D0%B0%D1%80%D1%82%D0%B8%D1%80/filters/sort%3Dopened_time/page/49/firm/70000001060446412/37.777983%2C44.676516?m=37.767755%2C44.700868%2F10.62
АМ-ПроРемонт,+79288449377,"WhatsApp, Telegram",https://2gis.ru/krasnodar/search/%D1%80%D0%B5%D0%BC%D0%BE%D0%BD%D1%82%20%D0%BA%D0%B2%D0%B0%D1%80%D1%82%D0%B8%D1%80/filters/sort%3Dopened_time/page/37/firm/70000001097329857/39.016087%2C45.054567?m=38.994723%2C45.037063%2F10.62
Аварийная служба,+79186007022,WhatsApp,https://2gis.ru/novorossiysk/search/%D1%80%D0%B5%D0%BC%D0%BE%D0%BD%D1%82%20%D0%BA%D0%B2%D0%B0%D1%80%D1%82%D0%B8%D1%80/filters/sort%3Dopened_time/page/13/firm/70000001054178177?m=38.919204%2C45.063242%2F10.62
Аварийная служба по электромонтажным работам,"+79184372232, +79189472727",,https://2gis.ru/krasnodar/search/%D1%80%D0%B5%D0%BC%D0%BE%D0%BD%D1%82%20%D0%BA%D0%B2%D0%B0%D1%80%D1%82%D0%B8%D1%80/filters/sort%3Dopened_time/page/37/firm/70000001097416524?m=38.994723%2C45.037063%2F10.62
Аврора,+79182751717,WhatsApp,https://2gis.ru/krasnodar/search/%D1%80%D0%B5%D0%BC%D0%BE%D0%BD%D1%82%20%D0%BA%D0%B2%D0%B0%D1%80%D1%82%D0%B8%D1%80/filters/sort%3Dopened_time/page/6/firm/70000001100783457?m=38.132073%2C45.231848%2F10.62
Агент 007,+79180555007,WhatsApp,https://2gis.ru/anapa/search/%D1%80%D0%B5%D0%BC%D0%BE%D0%BD%D1%82%20%D0%BA%D0%B2%D0%B0%D1%80%D1%82%D0%B8%D1%80/filters/sort%3Dopened_time/page/55/firm/70000001038374303/37.324373%2C44.884043?m=37.698546%2C44.763757%2F10.62
Агентство недвижимости,+79385181324,"YouTube, WhatsApp, Telegram",https://2gis.ru/krasnodar/search/%D1%80%D0%B5%D0%BC%D0%BE%D0%BD%D1%82%20%D0%BA%D0%B2%D0%B0%D1%80%D1%82%D0%B8%D1%80/filters/sort%3Dopened_time/page/9/firm/70000001080005370/39.000315%2C45.097845?m=39.014039%2C45.080438%2F10.62
Аис-строй,+79184623968,,https://2gis.ru/timashevsk/search/%D1%80%D0%B5%D0%BC%D0%BE%D0%BD%D1%82%20%D0%BA%D0%B2%D0%B0%D1%80%D1%82%D0%B8%D1%80/filters/sort%3Dopened_time/page/56/firm/70000001037634270/38.943471%2C45.615842?m=38.944065%2C45.624513%2F10.62
Академия безопасности,+78619914941,,https://2gis.ru/krasnodar/search/%D1%80%D0%B5%D0%BC%D0%BE%D0%BD%D1%82%20%D0%BA%D0%B2%D0%B0%D1%80%D1%82%D0%B8%D1%80/filters/sort%3Dopened_time/page/37/firm/70000001097401943/38.983987%2C45.04688?m=38.994723%2C45.037063%2F10.62
Академия тепла,+79897666990,,https://2gis.ru/novorossiysk/search/%D1%80%D0%B5%D0%BC%D0%BE%D0%BD%D1%82%20%D0%BA%D0%B2%D0%B0%D1%80%D1%82%D0%B8%D1%80/filters/sort%3Dopened_time/page/39/firm/70000001091505952/37.760133%2C44.691766?m=38.073817%2C44.57351%2F10.62
Аквариус,+78619451234,"YouTube, WhatsApp",https://2gis.ru/krasnodar/search/%D1%80%D0%B5%D0%BC%D0%BE%D0%BD%D1%82%20%D0%BA%D0%B2%D0%B0%D1%80%D1%82%D0%B8%D1%80/filters/sort%3Dopened_time/page/23/firm/70000001029878692/38.963833%2C45.050183?m=37.775319%2C44.714154%2F10.62
Алеарт-Строй,+79994442920,,https://2gis.ru/krasnodar/firm/70000001023501820
Альпантикор,+79298403892,,https://2gis.ru/krasnodar/search/%D1%80%D0%B5%D0%BC%D0%BE%D0%BD%D1%82%20%D0%BA%D0%B2%D0%B0%D1%80%D1%82%D0%B8%D1%80/filters/sort%3Dopened_time/page/2/firm/70000001103646153/38.965035%2C45.067576?m=39.003284%2C45.085157%2F10.62
Альфа гарант,+79996333601,"WhatsApp, Telegram",https://2gis.ru/krasnodar/search/%D1%80%D0%B5%D0%BC%D0%BE%D0%BD%D1%82%20%D0%BA%D0%B2%D0%B0%D1%80%D1%82%D0%B8%D1%80/filters/sort%3Dopened_time/page/5/firm/70000001104095754/38.908843%2C45.105323?m=37.785935%2C44.678585%2F10.62
Альянс групп,+79282072129,"WhatsApp, Telegram",https://2gis.ru/krasnodar/search/%D1%80%D0%B5%D0%BC%D0%BE%D0%BD%D1%82%20%D0%BA%D0%B2%D0%B0%D1%80%D1%82%D0%B8%D1%80/filters/sort%3Dopened_time/page/12/firm/70000001063449617/38.962748%2C45.060506?m=39.01902%2C45.120078%2F10.62
Апекс,+78617714438,,https://2gis.ru/novorossiysk/search/%D1%80%D0%B5%D0%BC%D0%BE%D0%BD%D1%82%20%D0%BA%D0%B2%D0%B0%D1%80%D1%82%D0%B8%D1%80/filters/sort%3Dopened_time/page/60/firm/10415102419272752/37.788939%2C44.696181?m=37.319377%2C44.883154%2F10.62
Ар-Деко,+79182323719,Telegram,https://2gis.ru/primorsko-ahtarsk/search/%D1%80%D0%B5%D0%BC%D0%BE%D0%BD%D1%82%20%D0%BA%D0%B2%D0%B0%D1%80%D1%82%D0%B8%D1%80/filters/sort%3Dopened_time/page/34/firm/70000001100680190/38.203449%2C46.050421?m=40.737362%2C44.64286%2F10.62
Арм-строй,+79836660777,WhatsApp,https://2gis.ru/krasnodar/search/%D1%80%D0%B5%D0%BC%D0%BE%D0%BD%D1%82%20%D0%BA%D0%B2%D0%B0%D1%80%D1%82%D0%B8%D1%80/filters/sort%3Dopened_time/page/33/firm/70000001101920265?m=37.339902%2C44.894244%2F10.62
Арс строй,+79034111666,WhatsApp,https://2gis.ru/anapa/search/%D1%80%D0%B5%D0%BC%D0%BE%D0%BD%D1%82%20%D0%BA%D0%B2%D0%B0%D1%80%D1%82%D0%B8%D1%80/filters/sort%3Dopened_time/page/38/firm/70000001094899094/37.336902%2C44.894518?m=38.976653%2C45.096852%2F10.62
Арт ремонт,+79604921820,"Taplink, Telegram",https://2gis.ru/novorossiysk/search/%D1%80%D0%B5%D0%BC%D0%BE%D0%BD%D1%82%20%D0%BA%D0%B2%D0%B0%D1%80%D1%82%D0%B8%D1%80/filters/sort%3Dopened_time/page/49/firm/70000001059956672/37.790313%2C44.68094?m=37.330622%2C44.866528%2F10.62
АртГрани,+79180744095,WhatsApp,https://2gis.ru/krasnodar/search/%D1%80%D0%B5%D0%BC%D0%BE%D0%BD%D1%82%20%D0%BA%D0%B2%D0%B0%D1%80%D1%82%D0%B8%D1%80/filters/sort%3Dopened_time/page/34/firm/70000001100902354/38.945417%2C45.037533?m=38.947167%2C45.038329%2F10.62
АртПроект,+79181504505,,https://2gis.ru/timashevsk/search/%D1%80%D0%B5%D0%BC%D0%BE%D0%BD%D1%82%20%D0%BA%D0%B2%D0%B0%D1%80%D1%82%D0%B8%D1%80/filters/sort%3Dopened_time/page/56/firm/70000001037639696/38.94152%2C45.618297?m=38.944065%2C45.624513%2F10.62
Артель,+79282078036,"YouTube, WhatsApp, Telegram",https://2gis.ru/krasnodar/search/%D1%80%D0%B5%D0%BC%D0%BE%D0%BD%D1%82%20%D0%BA%D0%B2%D0%B0%D1%80%D1%82%D0%B8%D1%80/filters/sort%3Dopened_time/page/19/firm/70000001053869814/39.005711%2C45.033943?m=39.005711%2C45.033943%2F10.62
Артель Ладага,+79184703509,"YouTube, WhatsApp, Telegram",https://2gis.ru/novorossiysk/search/%D1%80%D0%B5%D0%BC%D0%BE%D0%BD%D1%82%20%D0%BA%D0%B2%D0%B0%D1%80%D1%82%D0%B8%D1%80/filters/sort%3Dopened_time/page/35/firm/70000001098931475/37.365407%2C44.853723?m=39.2247%2C45.220339%2F10.62
Архитектор,+79385552241,"WhatsApp, Telegram",https://2gis.ru/krasnodar/search/%D1%80%D0%B5%D0%BC%D0%BE%D0%BD%D1%82%20%D0%BA%D0%B2%D0%B0%D1%80%D1%82%D0%B8%D1%80/filters/sort%3Dopened_time/page/3/firm/70000001102578518?m=39.003284%2C45.085157%2F10.62
Атмосфера,+79898089393,WhatsApp,https://2gis.ru/krasnodar/search/%D1%80%D0%B5%D0%BC%D0%BE%D0%BD%D1%82%20%D0%BA%D0%B2%D0%B0%D1%80%D1%82%D0%B8%D1%80/filters/sort%3Dopened_time/page/47/firm/70000001068224086/39.011512%2C45.023442?m=37.419582%2C45.266407%2F10.62
Аура,+79528462301,,https://2gis.ru/krasnodar/search/%D1%80%D0%B5%D0%BC%D0%BE%D0%BD%D1%82%20%D0%BA%D0%B2%D0%B0%D1%80%D1%82%D0%B8%D1%80/filters/sort%3Dopened_time/page/24/firm/70000001106078163/38.994145%2C45.044882?m=38.963833%2C45.050183%2F10.62
Баир,+79882400744,,https://2gis.ru/krasnodar/search/%D1%80%D0%B5%D0%BC%D0%BE%D0%BD%D1%82%20%D0%BA%D0%B2%D0%B0%D1%80%D1%82%D0%B8%D1%80/filters/sort%3Dopened_time/page/5/firm/70000001105080674/39.002056%2C45.078907?m=38.961956%2C45.061339%2F10.62
